-4.838006,-1.432131,8.527202
-4.574627,-1.787578,8.494167
-4.285116,-2.098321,8.475094
-3.96816,-2.363764,8.467495
-3.622446,-2.583312,8.468881
-3.24666,-2.756367,8.476764
-2.839488,-2.882334,8.488658
-2.399619,-2.960616,8.502074
-1.925738,-2.990617,8.514526
-1.416532,-2.97174,8.523525
-0.870688,-2.90339,8.526585
-0.286893,-2.784969,8.521214
0.3361665,-2.615882,8.504929
0.9998038,-2.395532,8.47524
1.705331,-2.123323,8.42966
2.454064,-1.798659,8.365701
3.247313,-1.420942,8.280875
4.086394,-0.9895781,8.172696
4.972619,-0.5039694,8.038675
5.907299,0.03647931,7.876324
