-4.743726,0.3560848,8.833935
-6.427244,1.760915,7.777137
-6.929522,3.050894,7.161398
-7.06789,4.225346,6.641771
-6.837244,5.430519,6.246044
-6.021452,6.824283,6.013369
-4.976919,8.076426,5.682153
-3.811433,8.962721,5.45142
-2.703441,9.540487,5.259562
-1.031992,9.786803,5.438203
0.6229724,9.579319,5.781161
3.572283,8.429518,6.163732
5.404201,6.541336,6.660262
6.13371,5.801792,6.982665
6.407956,4.173974,7.54124
6.075305,2.829639,8.137611
5.580259,1.418555,8.579928
4.293433,0.6546647,9.216739
2.890021,0.1208806,9.655806
1.416749,-0.364962,9.875361
-0.5193466,-0.8411287,9.843711
-2.943381,-0.8357835,9.394449
-4.318913,-0.23823,8.950935
-4.758895,0.2437429,8.801772
-5.360157,1.042505,8.509899
